epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_auc_roc,train_n_samples,train_time_s,train_throughput_img_s,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc_roc,val_n_samples,val_time_s,val_throughput_img_s
1,0.4989651109416054,0.7702083333333334,0.7632143815401127,0.7865339416562975,0.7746987131476816,0.8548324732361758,14400,36.07,399.23,0.42345727797140154,0.8277777777777777,0.8903743315508021,0.7449664429530202,0.8112058465286236,0.9263498130781123,1800,1.72,1049.53
2,0.324113514717455,0.88875,0.8803187896798595,0.901009263099682,0.8905438644438372,0.9568616323749548,14400,25.16,572.29,0.45498093753530267,0.8133333333333334,0.8671052631578947,0.7371364653243848,0.7968561064087062,0.9162536853489784,1800,1.49,1208.99
3,0.28071741260883565,0.9135416666666667,0.9081243184296619,0.9210562698741878,0.9145445809595717,0.9731000811340346,14400,25.29,569.34,0.419106546201204,0.825,0.7708138447146866,0.9217002237136466,0.8395313295975547,0.9223267947711257,1800,1.48,1219.51
4,0.22839125039031327,0.9422916666666666,0.9395770392749244,0.9459422093184018,0.9427488804684809,0.9868503989213817,14400,25.35,568.06,0.42909634165596544,0.8366666666666667,0.8112033195020747,0.8747203579418344,0.8417653390742734,0.9257602807038338,1800,1.48,1213.12
