epoch,lr,train_loss,train_accuracy,train_auc_roc,train_throughput_img_s,val_accuracy,val_auc_roc,valhard_accuracy,valhard_auc_roc,valhard_recall_fake,valhard_best_threshold,valhard_accuracy_tuned
1,1.9999995026654786e-05,0.4314087652698131,0.7936309523809524,0.8871394204029723,464.2,0.8129,0.9817,0.804,0.9662,0.99,0.13999999999999999,0.9
2,1.991182533591999e-05,0.19785274938453123,0.9450595238095238,0.9870077385741725,474.8,0.92,0.9889,0.908,0.9766,0.966,0.245,0.931
3,1.9651471191808924e-05,0.13512638326741347,0.9744642857142857,0.9966956936583227,474.5,0.939,0.988,0.946,0.9845,0.962,0.58,0.948
4,1.9223455367319365e-05,0.1114954581811658,0.9851785714285715,0.9986041358256148,474.5,0.9538,0.9901,0.93,0.9799,0.904,0.7799999999999999,0.931
5,1.8635213190282312e-05,0.10497212501520921,0.9882142857142857,0.9992317159876305,471.8,0.939,0.9878,0.916,0.9772,0.962,0.08499999999999999,0.935
6,1.7896963379679717e-05,0.09976248989596484,0.9902380952380953,0.9994563685246536,471.7,0.9324,0.9866,0.904,0.9692,0.824,0.8649999999999999,0.93
7,1.7021530529951627e-05,0.09370069194493537,0.9931547619047619,0.9996555149130872,470.4,0.9414,0.9844,0.908,0.978,0.828,0.8999999999999999,0.938
8,1.6024122327027676e-05,0.09264124305971629,0.9933928571428572,0.999728593432513,471.2,0.9624,0.9907,0.928,0.9703,0.904,0.6,0.935
9,1.4922065366201174e-05,0.08936523175701527,0.9949404761904762,0.9998585791965768,472.5,0.9586,0.99,0.93,0.9755,0.886,0.9349999999999999,0.942
